ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
214,1259,341,0,0.787,0.213,0.000
215,1275,325,0,0.797,0.203,0.000
216,1109,491,0,0.693,0.307,0.000
217,1297,303,0,0.811,0.189,0.000
218,1293,307,0,0.808,0.192,0.000
219,1090,510,0,0.681,0.319,0.000
220,1094,506,0,0.684,0.316,0.000
221,1158,442,0,0.724,0.276,0.000
222,1154,446,0,0.721,0.279,0.000
223,1118,482,0,0.699,0.301,0.000
224,1542,58,0,0.964,0.036,0.000
225,1053,547,0,0.658,0.342,0.000
226,1271,329,0,0.794,0.206,0.000
227,1348,252,0,0.843,0.158,0.000
228,1212,388,0,0.757,0.242,0.000
229,1235,365,0,0.772,0.228,0.000
230,1532,68,0,0.958,0.043,0.000
231,1002,598,0,0.626,0.374,0.000
232,1313,287,0,0.821,0.179,0.000
233,1064,536,0,0.665,0.335,0.000
234,1563,37,0,0.977,0.023,0.000
235,982,618,0,0.614,0.386,0.000
236,1283,317,0,0.802,0.198,0.000
237,1390,210,0,0.869,0.131,0.000
238,1128,472,0,0.705,0.295,0.000
239,1564,36,0,0.978,0.022,0.000
240,1255,345,0,0.784,0.216,0.000
241,856,744,0,0.535,0.465,0.000
242,1346,254,0,0.841,0.159,0.000
243,1452,148,0,0.907,0.092,0.000
244,1110,490,0,0.694,0.306,0.000
245,1512,88,0,0.945,0.055,0.000
246,1283,317,0,0.802,0.198,0.000
247,1459,141,0,0.912,0.088,0.000
248,827,773,0,0.517,0.483,0.000
249,1465,135,0,0.916,0.084,0.000
250,1409,191,0,0.881,0.119,0.000
251,1177,423,0,0.736,0.264,0.000
252,1566,34,0,0.979,0.021,0.000
253,883,717,0,0.552,0.448,0.000
254,1195,405,0,0.747,0.253,0.000
255,1397,203,0,0.873,0.127,0.000
256,1091,509,0,0.682,0.318,0.000
257,1600,0,0,1.000,0.000,0.000
258,1290,310,0,0.806,0.194,0.000
259,1034,566,0,0.646,0.354,0.000
260,1179,421,0,0.737,0.263,0.000
261,1188,412,0,0.743,0.258,0.000
262,1508,92,0,0.943,0.058,0.000
263,1573,27,0,0.983,0.017,0.000
264,819,781,0,0.512,0.488,0.000
265,1563,37,0,0.977,0.023,0.000
266,1599,1,0,0.999,0.001,0.000
267,1038,562,0,0.649,0.351,0.000
268,1083,517,0,0.677,0.323,0.000
269,1342,258,0,0.839,0.161,0.000
270,974,626,0,0.609,0.391,0.000
271,1478,122,0,0.924,0.076,0.000
272,1449,151,0,0.906,0.094,0.000
