0.099 0.102 0.107 0.109 0.113 0.117 0.127 0.139 0.153 0.166 0.188 0.224 0.244 0.254 0.260 0.273 0.294 0.306 0.318 0.334 0.369 0.475 0.581 0.598 0.604 0.594 0.602 0.601 0.593 0.585 0.577 0.566 0.554 0.543 0.533 0.521 0.506 0.492 0.481 0.467
0.096 0.098 0.102 0.108 0.117 0.124 0.137 0.152 0.163 0.179 0.195 0.232 0.248 0.256 0.258 0.274 0.284 0.298 0.313 0.334 0.362 0.465 0.569 0.586 0.595 0.587 0.594 0.593 0.584 0.581 0.574 0.563 0.553 0.542 0.529 0.518 0.504 0.492 0.481 0.467
0.093 0.096 0.099 0.100 0.112 0.128 0.144 0.161 0.203 0.212 0.225 0.237 0.251 0.258 0.273 0.262 0.276 0.291 0.309 0.326 0.343 0.443 0.502 0.572 0.582 0.577 0.586 0.584 0.575 0.564 0.560 0.552 0.542 0.529 0.518 0.506 0.495 0.483 0.471 0.456
0.089 0.092 0.092 0.099 0.113 0.133 0.178 0.188 0.206 0.213 0.221 0.229 0.241 0.247 0.260 0.254 0.266 0.284 0.299 0.313 0.333 0.411 0.464 0.557 0.570 0.562 0.570 0.566 0.540 0.543 0.548 0.547 0.508 0.491 0.486 0.487 0.486 0.471 0.463 0.447
0.081 0.085 0.085 0.091 0.103 0.000 0.180 0.190 0.199 0.207 0.209 0.216 0.220 0.243 0.254 0.251 0.260 0.268 0.285 0.306 0.320 0.356 0.443 0.541 0.554 0.541 0.548 0.546 0.532 0.519 0.507 0.512 0.488 0.460 0.445 0.456 0.460 0.461 0.448 0.437
0.082 0.086 0.090 0.098 0.110 0.140 0.176 0.187 0.191 0.198 0.206 0.212 0.214 0.236 0.241 0.244 0.247 0.248 0.262 0.281 0.293 0.318 0.361 0.520 0.532 0.533 0.526 0.523 0.522 0.510 0.494 0.479 0.444 0.421 0.404 0.424 0.435 0.435 0.436 0.424
0.078 0.087 0.091 0.096 0.103 0.122 0.000 0.000 0.187 0.192 0.202 0.205 0.206 0.217 0.225 0.228 0.229 0.231 0.236 0.253 0.266 0.286 0.314 0.496 0.510 0.513 0.503 0.501 0.500 0.498 0.454 0.425 0.409 0.389 0.372 0.369 0.371 0.393 0.412 0.413
0.076 0.084 0.097 0.102 0.107 0.136 0.143 0.172 0.177 0.174 0.191 0.195 0.204 0.208 0.208 0.208 0.208 0.208 0.211 0.219 0.235 0.249 0.268 0.330 0.467 0.486 0.491 0.477 0.479 0.475 0.443 0.392 0.380 0.366 0.353 0.357 0.356 0.372 0.386 0.388
0.078 0.087 0.098 0.120 0.127 0.135 0.145 0.162 0.169 0.166 0.000 0.000 0.000 0.201 0.201 0.187 0.185 0.192 0.196 0.198 0.208 0.224 0.236 0.267 0.437 0.456 0.463 0.454 0.455 0.451 0.438 0.390 0.368 0.351 0.347 0.347 0.351 0.355 0.367 0.366
0.078 0.088 0.101 0.123 0.129 0.138 0.146 0.155 0.160 0.000 0.156 0.155 0.167 0.172 0.175 0.177 0.176 0.186 0.180 0.177 0.183 0.192 0.201 0.225 0.273 0.411 0.435 0.434 0.428 0.428 0.427 0.399 0.379 0.345 0.342 0.340 0.341 0.344 0.350 0.347
