ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
269,326,74,0,0.815,0.185,0.000
270,306,94,0,0.765,0.235,0.000
271,265,135,0,0.662,0.338,0.000
272,301,99,0,0.752,0.247,0.000
273,318,82,0,0.795,0.205,0.000
274,332,68,0,0.830,0.170,0.000
275,325,75,0,0.812,0.188,0.000
276,327,73,0,0.818,0.182,0.000
277,324,76,0,0.810,0.190,0.000
278,319,81,0,0.797,0.203,0.000
279,327,73,0,0.818,0.182,0.000
280,320,80,0,0.800,0.200,0.000
281,309,91,0,0.772,0.228,0.000
282,253,147,0,0.632,0.367,0.000
283,296,104,0,0.740,0.260,0.000
284,318,82,0,0.795,0.205,0.000
285,325,75,0,0.812,0.188,0.000
286,319,81,0,0.797,0.203,0.000
287,303,97,0,0.757,0.242,0.000
288,326,74,0,0.815,0.185,0.000
289,272,128,0,0.680,0.320,0.000
290,321,79,0,0.802,0.198,0.000
291,324,76,0,0.810,0.190,0.000
292,317,83,0,0.792,0.207,0.000
293,318,82,0,0.795,0.205,0.000
294,303,97,0,0.757,0.242,0.000
295,317,83,0,0.792,0.207,0.000
296,266,134,0,0.665,0.335,0.000
297,310,90,0,0.775,0.225,0.000
298,322,78,0,0.805,0.195,0.000
299,318,82,0,0.795,0.205,0.000
300,320,80,0,0.800,0.200,0.000
301,322,78,0,0.805,0.195,0.000
302,327,73,0,0.818,0.182,0.000
303,309,91,0,0.772,0.228,0.000
304,316,84,0,0.790,0.210,0.000
305,326,74,0,0.815,0.185,0.000
306,314,86,0,0.785,0.215,0.000
307,320,80,0,0.800,0.200,0.000
308,334,66,0,0.835,0.165,0.000
309,332,68,0,0.830,0.170,0.000
310,322,78,0,0.805,0.195,0.000
311,318,82,0,0.795,0.205,0.000
312,338,62,0,0.845,0.155,0.000
313,326,74,0,0.815,0.185,0.000
314,325,75,0,0.812,0.188,0.000
315,327,73,0,0.818,0.182,0.000
316,318,82,0,0.795,0.205,0.000
317,318,82,0,0.795,0.205,0.000
318,284,116,0,0.710,0.290,0.000
319,293,107,0,0.733,0.268,0.000
320,281,119,0,0.703,0.297,0.000
321,293,107,0,0.733,0.268,0.000
322,314,86,0,0.785,0.215,0.000
323,338,62,0,0.845,0.155,0.000
324,242,158,0,0.605,0.395,0.000
325,322,78,0,0.805,0.195,0.000
326,334,66,0,0.835,0.165,0.000
327,328,72,0,0.820,0.180,0.000
328,327,73,0,0.818,0.182,0.000
329,284,116,0,0.710,0.290,0.000
330,322,78,0,0.805,0.195,0.000
331,313,87,0,0.782,0.217,0.000
332,320,80,0,0.800,0.200,0.000
333,332,68,0,0.830,0.170,0.000
334,326,74,0,0.815,0.185,0.000
335,254,146,0,0.635,0.365,0.000
336,281,119,0,0.703,0.297,0.000
337,333,67,0,0.833,0.168,0.000
338,318,82,0,0.795,0.205,0.000
339,314,86,0,0.785,0.215,0.000
340,324,76,0,0.810,0.190,0.000
341,304,96,0,0.760,0.240,0.000
342,296,104,0,0.740,0.260,0.000
343,317,83,0,0.792,0.207,0.000
344,305,95,0,0.762,0.237,0.000
345,320,80,0,0.800,0.200,0.000
346,303,97,0,0.757,0.242,0.000
347,301,99,0,0.752,0.247,0.000
348,281,119,0,0.703,0.297,0.000
349,325,75,0,0.812,0.188,0.000
350,322,78,0,0.805,0.195,0.000
351,332,68,0,0.830,0.170,0.000
352,300,100,0,0.750,0.250,0.000
353,338,62,0,0.845,0.155,0.000
354,272,128,0,0.680,0.320,0.000
355,313,87,0,0.782,0.217,0.000
356,338,62,0,0.845,0.155,0.000
357,326,74,0,0.815,0.185,0.000
358,322,78,0,0.805,0.195,0.000
359,321,79,0,0.802,0.198,0.000
360,322,78,0,0.805,0.195,0.000
361,328,72,0,0.820,0.180,0.000
362,337,63,0,0.843,0.158,0.000
363,325,75,0,0.812,0.188,0.000
364,328,72,0,0.820,0.180,0.000
365,296,104,0,0.740,0.260,0.000
366,290,110,0,0.725,0.275,0.000
367,253,147,0,0.632,0.367,0.000
368,327,73,0,0.818,0.182,0.000
369,327,73,0,0.818,0.182,0.000
370,334,66,0,0.835,0.165,0.000
371,311,89,0,0.777,0.223,0.000
372,333,67,0,0.833,0.168,0.000
373,322,78,0,0.805,0.195,0.000
374,318,82,0,0.795,0.205,0.000
375,272,128,0,0.680,0.320,0.000
376,324,76,0,0.810,0.190,0.000
377,314,86,0,0.785,0.215,0.000
378,290,110,0,0.725,0.275,0.000
379,328,72,0,0.820,0.180,0.000
380,332,68,0,0.830,0.170,0.000
381,297,103,0,0.743,0.258,0.000
382,328,72,0,0.820,0.180,0.000
383,332,68,0,0.830,0.170,0.000
384,332,68,0,0.830,0.170,0.000
385,318,82,0,0.795,0.205,0.000
386,317,83,0,0.792,0.207,0.000
387,304,96,0,0.760,0.240,0.000
388,337,63,0,0.843,0.158,0.000
389,325,75,0,0.812,0.188,0.000
390,316,84,0,0.790,0.210,0.000
391,327,73,0,0.818,0.182,0.000
392,322,78,0,0.805,0.195,0.000
393,327,73,0,0.818,0.182,0.000
394,326,74,0,0.815,0.185,0.000
395,319,81,0,0.797,0.203,0.000
396,297,103,0,0.743,0.258,0.000
397,322,78,0,0.805,0.195,0.000
398,327,73,0,0.818,0.182,0.000
399,316,84,0,0.790,0.210,0.000
